,judul,abstrak,kbk,judul_tokens,abstrak_tokens,stopword_count_judul,stopword_count_abstrak
8,analisis hasil peramalan harga komoditas daging ayam dan telur ayam indonesia menggunakan metode autoregressive integrated moving average arima dan seasonal autoregressive integrated moving average sarima,daging ayam dan telur ayam merupakan bagian dari komoditas pokok di indonesia berdasarkan surat keputusan menteri perdagangan dan perindustrian no mpp kep menurut badan pusat statistik bps konsumsi daging ayam per kapita masyarakat indonesia terus meningkat konsumsi daging ayam ras per kapita tahun pada meningkat sementara konsumsi daging ayam kampung meningkat selain itu tingkat konsumsi protein hewani masyarakat indonesia pada untuk daging ayam dan telur ayam lebih tinggi jika dibandingkan daging sapi karena harganya yang lebih terjangkau namun harga daging ayam dan telur ayam rentan terhadap fluktuasi harga telur ayam bergantung pada harga bibit ayam atau day old chick doc harga pakan dan obat obatan yang juga berpengaruh terhadap harga daging ayam berdasarkan kajian nyak ilham dan saptana yang berjudul fluktuasi harga telur ayam dan faktor penyebabnya harga telur ayam pada mengalami peningkatan dari tahun sebelumnya dengan fluktuasi tinggi pada sisi lain permintaan terhadap daging ayam dan telur ayam meningkat ketika momen hari besar keagamaan dan hari libur nasional hal ini menyebabkan pelonjakan harga daging ayam dan telur ayam pelonjakan harga ini menyebabkan kerugian pada masyarakat dan juga negara dilansir dari situs resmi bank indonesia inflasi yang rendah dan stabil merupakan prasyarat pertumbuhan ekonomi yang berkesinambungan pengendalian inflasi penting dilakukan karena inflasi yang tinggi dan tidak stabil berdampak negatif pada pertumbuhan ekonomi dan kondisi sosial ekonomi masyarakat maka dari itu diperlukan peramalan harga pada masa mendatang untuk membantu pemerintah dalam mengambil keputusan mengenai penetapan kebijakan harga penetapan waktu dan jumlah impor penetapan jumlah stok cadangan telur ayam dan daging ayam dan kebijakan lain yang terkait penelitian ini melakukan pereamalan harga daging ayam dan telur ayam menggunakan metode arima dan sarima peramalan dilakukan pada dataset bula yang diambil setiap tanggal dari januari hingga april peramalan yang dilakukan termasuk peramalan jangka pendek yaitu peramalan untuk satu bulan kedepan hal ini dilakukan karena peramalan jangka pendek memiliki nilai error yang lebih kecil daripada peramalan jangka panjang peramalan harga dilakukan pada daging ayam dan telur ayam karena kedua komoditas ini saling berkaitan satu sama lain dilihat dari hasil uji korelasi pearson sebesar pada dataset dan pada hasil peramalan pemilihan model terbaik berdasarkan pada nilai mean squared error mse mean absolute error mae dan mean absolute percentage error mape terkecil hasil peramalan harga daging ayam terbaik menggunakan metode arima konfigurasi dengan nilai mape sebesar sedangkan hasil peramalan harga telur ayam terbaik menggunakan metode sarima konfigurasi n dengan nilai mape sebesar ,Game Technology and Machine Learning Applications,analisis hasil amal harga komoditas daging ayam telur ayam indonesia metode autoregressive integrated moving average arima seasonal autoregressive integrated moving average sarima,daging ayam telur ayam komoditas pokok indonesia dasar surat putus menteri dagang industri mpp kep badan pusat statistik bps konsumsi daging ayam kapita masyarakat indonesia tingkat konsumsi daging ayam ras kapita tingkat konsumsi daging ayam kampung tingkat tingkat konsumsi protein hewani masyarakat indonesia daging ayam telur ayam banding daging sapi harga jangkau harga daging ayam telur ayam rentan fluktuasi harga telur ayam gantung harga bibit ayam day old chick doc harga pakan obat obat pengaruh harga daging ayam dasar kaji nyak ilham saptana judul fluktuasi harga telur ayam faktor sebab harga telur ayam alami tingkat fluktuasi sisi minta daging ayam telur ayam tingkat momen agama libur nasional sebab lonjak harga daging ayam telur ayam lonjak harga sebab rugi masyarakat negara lansir situs resmi bank indonesia inflasi rendah stabil prasyarat tumbuh ekonomi sambung kendali inflasi inflasi stabil dampak negatif tumbuh ekonomi kondisi sosial ekonomi masyarakat amal harga bantu perintah ambil putus tetap bijak harga tetap impor tetap stok cadang telur ayam daging ayam bijak kait teliti pereamalan harga daging ayam telur ayam metode arima sarima amal dataset bula ambil tanggal januari april amal amal jangka pendek amal depan amal jangka pendek milik nilai error amal jangka amal harga daging ayam telur ayam komoditas kait hasil uji korelasi pearson dataset hasil amal pilih model baik dasar nilai mean squared error mse mean absolute error mae mean absolute percentage error mape kecil hasil amal harga daging ayam baik metode arima konfigurasi nilai mape hasil amal harga telur ayam baik metode sarima konfigurasi n nilai mape,3,143
15,deteksi situs phishing menggunakan metode random forest,penggunaan internet di indonesia dari tahun ke tahun selalu mengalami peningkatan sayangnya meningkatnya pengguna internet ini juga diikuti dengan meningkatnya jumlah kejahatan dunia maya phishing adalah salah satu kejahatan dunia maya yang mengancam pengguna dunia maya terutama pengguna dunia maya yang masih cukup awam kerugian yang diakibatkan oleh kejahatan phishing ada beragam mulai dari bocornya informasi pribadi hingga kerugian fisial terdapat beberapa metode yang dapat digunakan untuk mengenali sebuah situs phishing salah satunya adalah menggunakan metode machine learning dengan menggunakan metode ini pengguna internet dapat dengan mudah mengklasifikasikan sebuah situs web apakah termasuk situs phishing atau non phishing sehingga pengguna tersebut dapat menghindari untuk mengakses situs yang dicurigai sebuah situs phishing tersebut pada penelitian ini dilakukan eksperimen untuk mendapatkan sebuah model klasifikasi menggunakan algoritme random forest yang memiliki performa terbaik saat melakukan klasifikasi situs phishing model klasifikasi yang dibuat akan menggunakan fitur yang didapatkan dari url hingga konten sebuah situs web setelah model klasifikasi dibuat model tersebut akan diimplementasikan ke dalam sebuah sistem deteksi situs phishing hasilnya model klasifikasi random forest dengan jumlah trees sebanyak buah metode split menggunakan information gain dan jumlah random feature selection buah adalah model dengan performa terbaik yang dipilih dengan performa accuracy recall precision f measure out of bag score dan training time detik model yang dipilih tersebut kemudian diimplementasikan ke dalam sebuah sistem deteksi situs phishing berbasis aplikasi web,Game Technology and Machine Learning Applications,deteksi situs phishing metode random forest,guna internet indonesia alami tingkat sayang tingkat guna internet ikut tingkat jahat dunia maya phishing salah jahat dunia maya ancam guna dunia maya guna dunia maya awam rugi akibat jahat phishing agam bocor informasi pribadi rugi fisial metode nali situs phishing salah satu metode machine learning metode guna internet mudah klasifikasi situs web situs phishing non phishing guna hindar akses situs curiga situs phishing teliti eksperimen model klasifikasi algoritme random forest milik performa baik klasifikasi situs phishing model klasifikasi fitur dapat url konten situs web model klasifikasi model implementasi sistem deteksi situs phishing hasil model klasifikasi random forest trees buah metode split information gain random feature selection buah model performa baik pilih performa accuracy recall precision f measure bag score training time detik model pilih implementasi sistem deteksi situs phishing bas aplikasi web,1,92
23,implementasi algoritma textrankdalam automatic text summarizationpada buku digital berbahasa indonesia untuk meningkatkan kognitif pembaca,membaca merupakan salah satu aktifitas penting manusia untuk menambah wawasan dan pengetahuan aktifitas ini juga dapat meningkatkan kemampuan kognitif seseorang media untuk membaca sangat beragam salah satunya adalah buku saat ini kebanyakan orang lebih memilih buku digital dibandingkan buku cetak karena lebih praktis dan mudah untuk mengaksesnya di bidang pembelajaran mahasiswa menggunakan buku digital sebagai referensi belajar pada matakuliah yang diambil sedangkan dosen pengampu dapat membuat sebuah buku digitalnya sendiri untuk membantu proses pembelajaran mahasiswa namun untuk memahami isi buku pembaca harus meluangkan banyak waktu oleh karena itu peneliti mengangkat topik penelitian mengenai sistem peringkasan teks automatic text summarization pada buku digital algoritma yang digunakan adalah algoritma textrank algoritma ini adalah salah satu algoritma untuk dapat meringkas teks otomatis dengan pendekatan unsupervised learning selain itu algoritma ini juga dapat mengekstrak kata kunci yang terkandung dalam teks tahapan penelitian ini dilakukan peringkasan teks kemudian ekstraksi kata kunci yang masing masing proses meliputi preprocessing implementasi algoritma textrank dan hasilnya berupa teks ringkasan dan kata kunci sistem ini akan diuji berdasarkan tingkat akurasi yang dihasilkan dan uji kelayakan menggunakan kuisioner tes formatif dan wawancara teknis oleh sejumlah satu kelas mahasiswa teknik informatika di universitas negeri malang pengukuran tingkat pemahaman hasil ringkasan dilakukan secara sistem dan manual dari dosen hasil pengujian ini diharapkan dapat memetakan matakuliah yang ingin ditempuh di masa mendatang sesuai dengan kemampuan kognitif mahasiswa,Teknologi Digital Cerdas (Ubiquitous Computing Technique),implementasi algoritma textrankdalam automatic text summarizationpada buku digital bahasa indonesia tingkat kognitif baca,baca salah aktifitas manusia tambah wawas tahu aktifitas tingkat mampu kognitif media baca agam salah satu buku banyak orang pilih buku digital banding buku cetak praktis mudah akses bidang ajar mahasiswa buku digital referensi ajar matakuliah ambil dosen ampu buku digital bantu proses ajar mahasiswa paham isi buku baca luang teliti angkat topik teliti sistem ringkas teks automatic text summarization buku digital algoritma algoritma textrank algoritma salah algoritma ringkas teks otomatis dekat unsupervised learning algoritma ekstrak kunci kandung teks tahap teliti ringkas teks ekstraksi kunci proses liput preprocessing implementasi algoritma textrank hasil teks ringkas kunci sistem uji dasar tingkat akurasi hasil uji layak kuisioner tes formatif wawancara teknis kelas mahasiswa teknik informatika universitas negeri malang ukur tingkat paham hasil ringkas sistem manual dosen hasil uji harap meta matakuliah tempuh sesuai mampu kognitif mahasiswa,1,90
26,prediksi nilai tukar mata uang kripto terhadap rupiah menggunakan multilayer perceptron,mata uang kripto memiliki nilai tukar yang sangat fluktuatif sehingga para pelaku trader seringkali merasa cukup sulit dalam menentukan atau memprediksi nilai tukar mata uang kripto untuk waktu kedepan mata uang kripto sangat berbeda dengan mata uang fiat yang mana dikeluarkan oleh suatu pemerintahan dan memiliki regulasi yang kuat sedangkan mata uang kripto menggunakan teknologi blockchain yang bersifat peer to peer dan tidak dimiliki oleh kelompok atau organisasi tertentu oleh karena itu nilai dari sebuah mata uang kripto tidaklah bergantung pada suatu pihak melainkan minat dari para pengguna mata uangnya itu sendiri dengan kata lain mata uang kripto memiliki trend yang cenderung tidak dapat ditentukan dengan pasti tujuan dari penelitian ini adalah untuk memprediksi kedepan nilai tukar rupiah mata uang kripto teratas berdasarkan kapitalisasi pasar bitcoin ethereum ripple bitcoin cash dan eos penelitian ini menggunakan feedforward artificial neural network dengan menggunakan perbandingan beberapa model untuk mencari performa terbaik neural network yang diterapkan yaitu multi layer perceptron mlp perbedaan dari setiap model tersebut adalah pada konfigurasi layer input hidden output kemudian nilai learning rate jumlah epoch dan juga activation function yang digunakan input pada layer pertama berupa riwayat harga mata uang kripto dan output layer menampilkan nilai prediksi satu hari kedepan data training yang digunakan adalah nilai tukar rupiah mata uang kripto per hari selama tahun kebelakang penelitian ini diharapkan dapat mengetahui performa peramalan algoritma neural network pada nilai tukar mata uang kripto yang fluktuatif dan membuktikan bahwa neural network cukup efektif dalam melakukan prediksi time series dengan mape kurang dari ,Game Technology and Machine Learning Applications,prediksi nilai tukar mata uang kripto rupiah multilayer perceptron,mata uang kripto milik nilai tukar fluktuatif laku trader seringkali sulit tentu prediksi nilai tukar mata uang kripto depan mata uang kripto beda mata uang fiat keluar perintah milik regulasi kuat mata uang kripto teknologi blockchain sifat peer peer milik kelompok organisasi nilai mata uang kripto gantung minat guna mata uang mata uang kripto milik trend cenderung tentu tuju teliti prediksi depan nilai tukar rupiah mata uang kripto atas dasar kapital pasar bitcoin ethereum ripple bitcoin cash eos teliti feedforward artificial neural network banding model cari performa baik neural network terap multi layer perceptron mlp beda model konfigurasi layer input hidden output nilai learning rate epoch activation function input layer riwayat harga mata uang kripto output layer tampil nilai prediksi depan data training nilai tukar rupiah mata uang kripto belakang teliti harap performa amal algoritma neural network nilai tukar mata uang kripto fluktuatif bukti neural network efektif prediksi time series mape,2,99
28,implementasi algoritma naive bayes untuk klasifikasi penilaian kepuasan pelanggan grab,ojek online merupakan sebuah terobosan baru di bidang transportasi yang semakin diminati masyarakat salah satunya yaitu grab grab merupakan perusahaan yang bergerak di bidang tranfportasi namun terdapat kondisi dimana perusahaan tidak memberikan pelayan yang memuaskan kepada pengguna kepuasaan pengguna adalah suatu kondisi dimana harapan permintaan dan keperluaan pengguna grab terpenuhi kepuasaan pengguna grab sangat penting bagi perusahaan hal ini dapat meningkatkan bisnisnya karena dapat memberikan dampak positif berupa meningkatnya profit dan pujian positif untuk laya yang diberikan pada saat ini semakin meningkat kesadaraan pengguna grab akan perlunya kualitas pelaya yang diberikan oleh perusahaan pengguna atau pelanggan grab akan membandingkan pelaya yang diharapkan dengan pelaya yang diterima tujuan penilitian ini untuk mengklasifikasi kepuasan pengguna grab penelitian ini dilakukan untuk merancang sistem kepuasaan pengguna grab berbasis web dengan menerapkan teknik data mining dengan algoritma naïve bayes algoritma naïve bayes yang diterapkan dalam penelitian ini untuk menghitung probabilitas terbesar pada variabel independent yang telah ditentukan seperti tampilan grab fitur harga pelaya driver dan promo sedangkan variabel dependen dalam klasifikasi ini adalah puas atau tidaknya pengguna atau pelanggan grab alasan lain menggunakan algoritma naïve bayes yaitu asumsi yg sangat kuat akan independensi dari masing masing kondisi kejadian algoritma naïve bayes di gunakan karena akurasinya yang tinggi di bandingkan dengan model algoritma classifier lainya dan algoritma ini hanya membutuhkan jumlah data pelatihan training data yang kecil untuk menentukan estimasi parameter yg diperlukan dalam proses pengklasifikasian karena yg diasumsikan sebagai variabel independent maka hanya varians dari suatu variabel dalam sebuah kelas yang dibutuhkan untuk menentukan klasifikasi bukan keseluruhan dari matriks kovarians hasil penelitian ini yaitu sebuah sistem yang dapat membantu masyarakat untuk mengevaluasi kepuasaan terhadap pelaya grab sehingga dapat menjadi pertimbangan bagi pihak grab untuk meningkatkan pelayanya,Game Technology and Machine Learning Applications,implementasi algoritma naive bayes klasifikasi nilai puas langgan grab,ojek online terobos bidang transportasi mati masyarakat salah satu grab grab usaha gerak bidang tranfportasi kondisi mana usaha layan muas guna puasa guna kondisi mana harap minta keperluaan guna grab penuh puasa guna grab usaha tingkat bisnis dampak positif tingkat profit puji positif laya tingkat kesadaraan guna grab kualitas pelaya usaha guna langgan grab banding pelaya harap pelaya terima tuju penilitian klasifikasi puas guna grab teliti rancang sistem puasa guna grab bas web terap teknik data mining algoritma na ve bayes algoritma na ve bayes terap teliti hitung probabilitas besar variabel independent tentu tampil grab fitur harga pelaya driver promo variabel dependen klasifikasi puas tidak guna langgan grab alas algoritma na ve bayes asumsi yg kuat independensi kondisi jadi algoritma na ve bayes akurasi banding model algoritma classifier lai algoritma butuh data latih training data tentu estimasi parameter yg proses klasifikasi yg asumsi variabel independent varians variabel kelas butuh tentu klasifikasi matriks kovarians hasil teliti sistem bantu masyarakat evaluasi puasa pelaya grab timbang grab tingkat pelayanya,1,119
31,analisis kinerja klasifikasi buku cerita rakyat indonesia menggunakan metode random forest,krisis moral bangsa indonesia kini tengah mengalami penuru krisis moral tersebut disebabkan oleh minimnya pendidikan karakter seseorang sejak dini salah satu cara untuk membangun karakter anak menjadi kepribadian yang unggul yaitu melalui kegiatan membaca cerita rakyat di sekolah akan tetapi tidak semua cerita rakyat dapat dikonsumsi oleh siswa kemampuan membaca buku di setiap jenjang pendidikan berbeda beda disinilah peran guru diperlukan dalam memilih bahan bacaan yang sesuai untuk siswa guna mempermudah memilih buku cerita rakyat diperlukan pendukung keputusan untuk klasifikasi buku cerita rakyat sehingga tenaga pendidik dapat memberikan bacaan yang tepat untuk siswa pada penelitian ini diusulkan metode random forest untuk klasfikasi cerita rakyat tahapan penelitian meliputi pengumpulan data preprocessing klasfikasi dengan metode random forest dan evaluasi hasil keluaran dari penelitian ini yaitu untuk mengetahui kinerja dari metode random forest dalam melakukan klasifikasi buku cerita rakyat,Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science),analisis kerja klasifikasi buku cerita rakyat indonesia metode random forest,krisis moral bangsa indonesia alami penuru krisis moral sebab minim didik karakter salah bangun karakter anak pribadi unggul giat baca cerita rakyat sekolah cerita rakyat konsumsi siswa mampu baca buku jenjang didik beda beda peran guru pilih bahan baca sesuai siswa mudah pilih buku cerita rakyat dukung putus klasifikasi buku cerita rakyat tenaga didik baca siswa teliti usul metode random forest klasfikasi cerita rakyat tahap teliti liput kumpul data preprocessing klasfikasi metode random forest evaluasi hasil keluar teliti kerja metode random forest klasifikasi buku cerita rakyat,1,50
32,prediksi popularitas film menggunakan jaringan syaraf tiruan,pada industri film penting bagi production house dalam membuat keputusan terkait perilisan film filmnya untuk melihat ketertarikan penonton terhadap suatu film terdapat pola pasar yang dapat dipergunakan untuk memprediksi tingkat antusiasme penonton dan tentunya akan membantu production housedalam menentukan apakah suatu film akan dirilis menukarnya dengan film lain atau melakukan hal hal yang dapat meningkatkan popularitas film di penelitian ini untuk mempelajari pola karakteristik film yang akan dirilis digunakan metode jaringan syaraf tiruan dimana genre film mpaa rating rate pemain utama ratepemain pendukung dan ratesutradara akan digunakan sebagai input karakteristik film itulah yang dapat digunakan untuk melakukan prediksi apakah suatu film akan menjadi hits average atau flop penelitian ini menggunakan jaringan syaraf tiruan karena algoritma ini dapat mempelajari dan membangun pola hubungan dari input sehingga karakteristik film dapat dipelajari dan dibentuk menjadi model prediksi penelitian ini dapat membantu production housedalam membuat keputusan terkait perilisan filmnya,Game Technology and Machine Learning Applications,prediksi popularitas film jaring syaraf tiru,industri film production house putus kait rilis film film tari tonton film pola pasar prediksi tingkat antusiasme tonton bantu production housedalam tentu film rilis tukar film tingkat popularitas film teliti ajar pola karakteristik film rilis metode jaring syaraf tiru mana genre film mpaa rating rate main utama ratepemain dukung ratesutradara input karakteristik film prediksi film hits average flop teliti jaring syaraf tiru algoritma ajar bangun pola hubung input karakteristik film ajar bentuk model prediksi teliti bantu production housedalam putus kait rilis film,1,63
38,prediksi ketepatan hadir calon pegawai menggunakan metode decision tree dengan penerapan algoritma c studi kasus tenaga kerja universitas negeri malang,kedisipli seorang pegawai di suatu tempat kerja tentu sangat diperlukan terutama kedisipli dalam hal ketepatan waktu hadir maka dari itu pemantauan atau evaluasi terhadap ketepatan waktu hadir calon pegawai menjadi sangat vital dan hal ini menjadi tugas bagi semua elemen yang ada di institusi sehingga peningkatan kinerja dapat dilakukan berdasarkan teori kinerja dari gibson terdapat beberapa faktor yang mempengaruhi tingkat kedisipli waktu kerja pegawai kriswiyanti faktor tersebut dapat bersumber dari faktor eksternal dan faktor internal berdasarkan latar belakang tersebut penelitian ini dilakukan untuk memprediksi ketepatan waktu hadir calon pegawai menggunakan teknik klasifikasi yang dapat mengolah data untuk menemukan pola yang terjadi pada data calon pegawai universitas negeri malang teknik klasifikasi yang digunakan yaitu decision tree dengan penerapan algoritma c dengan algoritma decision tree didapat sebuah prediksi ketepatan waktu hadir calon pegawai yang dapat membantu pengambilan keputusan oleh pemilik tempat kerja dalam menentukan karyawan yang disiplin data yang digunakan pada penelitian ini adalah data tanaga kependidikan universitas negeri malang yaitu data pegawai dan data absensi dalam rentang bulan atribut yang digunakan berupa data pegawai meliputi jenis kelamin usia jarak pendidikan akhir status perkawi dan jumlah anak penelitian ini diolah dengan menggunakan bantuan tools mesin pembelajaran rapidminer beberapa tahapan pada penelitian ini yaitu mulai dari pengumpulan data menganalisa data pegawai dan data absensi merancang dan mengimplementasikan model menggunakan algoritma klasifikasi decison tree dengan penerapan algortima c dan menguji model,Game Technology and Machine Learning Applications,prediksi tepat hadir calon pegawai metode decision tree terap algoritma c studi tenaga kerja universitas negeri malang,kedisipli pegawai kerja kedisipli tepat hadir pantau evaluasi tepat hadir calon pegawai vital tugas elemen institusi tingkat kerja dasar teori kerja gibson faktor pengaruh tingkat kedisipli kerja pegawai kriswiyanti faktor sumber faktor eksternal faktor internal dasar latar teliti prediksi tepat hadir calon pegawai teknik klasifikasi olah data temu pola data calon pegawai universitas negeri malang teknik klasifikasi decision tree terap algoritma c algoritma decision tree prediksi tepat hadir calon pegawai bantu ambil putus milik kerja tentu karyawan disiplin data teliti data tanaga didik universitas negeri malang data pegawai data absensi rentang atribut data pegawai liput jenis kelamin usia jarak didik status kawi anak teliti olah bantu tools mesin ajar rapidminer tahap teliti kumpul data menganalisa data pegawai data absensi rancang implementasi model algoritma klasifikasi decison tree terap algortima c uji model,3,96
42,sistem rekomendasi pembelian pemain menggunakan algoritma content based filtering pada master league game pro evolution soccer ,game atau permai sepak bola merupakan permai olahraga populer hingga saat ini permai sepak bola tidak hanya dapat dimainkan secara nyata tetapi juga dapat dimainkan secara virtual menggunakan seperti console game dsb salah satu bentuk perkembangan game virtual sepak bola ini adalah pro evolution soccer perkembangan pro evolution soccer dari tahun ke tahun semakin mendekati nyata sehingga player game perlu berfikir lebih untuk memainkan pro evolution soccer yang terbaru salah satunya yaitu pada mode master league dimana player dapat merasakan sensasi bermain sebagai pelatih atau manager tim yang dipilih ketika menjadi manager kesulitan yang dihadapi adalah ketika player game ingin membeli pemain baru dimana mereka disuguhkan dengan berbagai macam pemain sepak bola tetapi mereka tidak dapat memilih pemain yang cocok untuk tim mereka akhirnya kebanyakan player game tidak memikirkan pembelian secara matang dan memilih secara acak atau sesuka mereka maka dampaknya adalah performa tim yang kurang bagus tidak seimbangnya persebaran usia pemain terlalu banyak pemain dengan usia yang tua menurunnya tim spirit tidak ada pemain yang dapat dijadikan investasi jangka panjang dll penelitian ini mengambil topik penelitian pada pro evolution soccer dan menggunakan algoritma content based filtering content based filtering akan menghitung tiap fitur atau faktor faktor yang menentukan player memilih pemain yang terbaik dan sesuai dengan kondisi timnya hasil dari perhitungan kemudian diurutkan dan pemain dengan nilai tertinggi merupakan pemain yang direkomendasikan sehingga dari penelitian sistem rekomendasi pembelian pemain ini diharapkan dapat membantu player untuk menentukan pembelian pemain pada mode master league pro evolution soccer khususnya pro evolution soccer ,Game Technology and Machine Learning Applications,sistem rekomendasi beli main algoritma content based filtering master league game pro evolution soccer,game permai sepak bola permai olahraga populer permai sepak bola main nyata main virtual console game dsb salah bentuk kembang game virtual sepak bola pro evolution soccer kembang pro evolution soccer dekat nyata player game berfikir main pro evolution soccer baru salah satu mode master league mana player rasa sensasi main latih manager tim pilih manager sulit hadap player game beli main mana suguh main sepak bola pilih main cocok tim banyak player game pikir beli matang pilih acak suka dampak performa tim bagus imbang sebar usia main main usia tua turun tim spirit main jadi investasi jangka dll teliti ambil topik teliti pro evolution soccer algoritma content based filtering content based filtering hitung fitur faktor faktor tentu player pilih main baik sesuai kondisi tim hasil hitung urut main nilai tinggi main rekomendasi teliti sistem rekomendasi beli main harap bantu player tentu beli main mode master league pro evolution soccer pro evolution soccer,2,97
45,implementasi metode simple additive weighting saw pada sistem pendukung keputusan rekomendasi pemilihan sma swasta di malang berbasis web,pada saat ini menentukan sma swasta yang sesuai dengan keingi dan juga kriteria bukanlah hal yang mudah banyak sekali pilihan sekolah favorit yang dapat mempengaruhi para calon siswa dan juga orang tua dalam memilih sekolah mana yang cocok karena para orang tua selalu menginginkan anaknya masuk ke dalam sekolah dengan kualitas terbaik dan tidak memperdulikan tentang biaya sekolah namun ada juga orang tua yang lebih mementingkan biaya sekolah dari pada kualitas dari sekolah itu sendiri ada beberapa pertimbangan yang di lakukan oleh para calon siswa dan juga orang tua yaitu uang spp akreditasi uang pangkal tingkat kelulusan kualitas sekolah dan jarak dari kriteria yang di inginkan tentunya pasti akan kesulitan dalam memilih sekolah mana yang sesuai dengan kriteria yang di inginkan dari calon siswa dan juga orang tua apalagi di malang terdapat sma swasta karena hal itu di butuhkan sistem pendukung rekomendasi pemilihan sma swasta di malang untuk membantu para calon siswa dan juga orang tua dalam memilih sekolah swasta terbaik dan juga sesuai dengan kriteria yang di inginkan oleh pengguna sistem pendukung keputusan ini menggunakan metode simple additive weighting saw berbasis web dalam hal ini penggunaan metode simple additive weighting saw merupakan metode yang tepat di gunakan karena data yang di teliti dan cara perhitungan dari metode saw sangat cocok dan dapat menghasilkan tingkat akurasi yang bisa di bilang sangat baik hal ini di buktikan dengan hasil penelitian dari aditya candra dengan judul keputusan pemilihan dosen berprestasi menggunakan metode saw di lingkungan universitas lampung dengan tingkat akurasi dalam sistem ini memiliki beberapa fitur yaitu informasi sekolah yang detail dan juga mendapatkan rekomendasi sekolah terbaik berdasarkan kriteria yang di berikan oleh pengguna,Game Technology and Machine Learning Applications,implementasi metode simple additive weighting saw sistem dukung putus rekomendasi pilih sma swasta malang bas web,tentu sma swasta sesuai keingi kriteria mudah pilih sekolah favorit pengaruh calon siswa orang tua pilih sekolah cocok orang tua anak masuk sekolah kualitas baik duli biaya sekolah orang tua penting biaya sekolah kualitas sekolah timbang laku calon siswa orang tua uang spp akreditasi uang pangkal tingkat kelulus kualitas sekolah jarak kriteria sulit pilih sekolah sesuai kriteria calon siswa orang tua malang sma swasta butuh sistem dukung rekomendasi pilih sma swasta malang bantu calon siswa orang tua pilih sekolah swasta baik sesuai kriteria guna sistem dukung putus metode simple additive weighting saw bas web guna metode simple additive weighting saw metode data teliti hitung metode saw cocok hasil tingkat akurasi bilang bukti hasil teliti aditya candra judul putus pilih dosen prestasi metode saw lingkung universitas lampung tingkat akurasi sistem milik fitur informasi sekolah detail rekomendasi sekolah baik dasar kriteria guna,2,132
