judul,abstract,kbk
"Analisis behavioral user dalam menggunakan aplikasi
mytelkomsel dengan model utaut",Klasifikasi sebagai Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science),Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science)
"Analisis behavioral user dalam menggunakan aplikasi
mytelkomsel dengan model utaut",Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science),Klasifikasi sebagai Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science)
"Analisis behavioral user dalam menggunakan aplikasi
mytelkomsel dengan model utaut",Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science),Klasifikasi sebagai Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science)
"Analisis behavioral user dalam menggunakan aplikasi
mytelkomsel dengan model utaut",Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science),Klasifikasi sebagai Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science)
"Analisis klasifikasi terbaik pada algoritma data mining
berbasis bagging",Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science),Klasifikasi sebagai Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science)
"Komparasi algoritma c.45, k-nearest neighbor, multilayer perceptron, dan
naive bayes pada model kognitif pemain game chem dungeon",Game Technology and Machine Learning Applications,Klasifikasi sebagai Game Technology and Machine Learning Applications
"Komparasi algoritma c.45, k-nearest neighbor, multilayer perceptron, dan
naive bayes pada model kognitif pemain game chem dungeon",Game Technology and Machine Learning Applications,Klasifikasi sebagai Game Technology and Machine Learning Applications
"wi Sistem penilaian tingkat kesulitan level pada game platformer menggunakan ew obstacle matrix / Oky Eka Noorrafif COVER : BELUM TERSEDIA Ia singhs: ee Ls. eve oR mrgnss 2a es Informasi Detail Juul Sei : ppc Prodi Deskrips Fisk Bahasa No Reg Tipelsi . Tipe Media : Tipe Pambawa : dish Subjek sit “form scss Negeri Valsng, 2 Pembimbing Pernyataan : Tanggungiawad Versi lain/terkait Lampiran Berkas",Game Technology and Machine Learning Applications,Deskripsi dari hasil klasifikasi
"ow COVER BELUM TERSEDIA Ws Komparasi algoritma c.45, k-nearest neighbor, multilayer perceptron, dan naive bayes pada model kognitit pemain game chem dungeon / Panca Aditya Kusuma Wardani mart Daan aere ar 1 later yang setu Ler Utes me palagetecitoa 4 Informasi Detail Juul Sei : No Reg Tipelsi Tipe Media Tipe Pambawa dish Subjek Pembimbing Pernyataan : Tanggungiawad Versi lain/terkait Lampiran Berkas",Game Technology and Machine Learning Applications,Deskripsi dari hasil klasifikasi
COVER BELUM TERSEDIA Desain dan pengembangan permainan amogasakti trading card game bertema mitologi pewayangan menggunakan game development life cycle / Rifki Fajar Fitrianto PK # Ube fe otarsio s tertage of srolosncingkr Informasi Detail Juul Sei : ppc Prodi Deskrips Fisk Bahasa No Reg Tipelsi Tipe Media Tipe Pambawa dish Subjek Pembimbing Pernyataan : Tanggungiawad Versi lain/terkait Lampiran Berkas,Game Technology and Machine Learning Applications,Deskripsi dari hasil klasifikasi
Pengembangan game pengenalan ekspresi wajah manusia untuk anak ou autisme menggunakan metode design thinking / R. Rr. Yaritza Haq Indra Hart COVER BELUM TERSEDIA ga mec oh Informasi Detail Juul Sei : ppc SkR25 DE TA. Prodi esis eg: Deskrips Fisk Bahasa No Reg Tipelsi Tipe Media Tipe Pambawa dish Subjek Sad “Een “form Pembimbing Pernyataan : Tanggungiawad Versi lain/terkait Lampiran Berkas,Teknologi Digital Cerdas (Ubiquitous Computing Technique),Deskripsi dari hasil klasifikasi
"ew COVER BELUM TERSEDIA msi Pengembangan dan implementasi desain ui/ux visual game smoking awareness apps menggunakan metode design thinking / Megan Karuna ure mara, n Reagan ‘sing © Informasi Detail Juul Sei : ppc Prodi Deskrips Fisk Bahasa No Reg Tipelsi : Tipe Media : Tipe Pambawa : dish Subjek sit “form Pembimbing Pernyataan : Tanggungiawad Versi lain/terkait Lampiran Berkas",Teknologi Digital Cerdas (Ubiquitous Computing Technique),Deskripsi dari hasil klasifikasi
wi Sistem rekomendasi pembelian item menggunakan algoritma simple val additive weighting (saw) pada game seal online blade of destiny / Dwi Nur Muhamad Revian Fitranto COVER BELUM TERSEDIA eis ago“va S88 arg seraa sesh dnturg a yates ar pevvtungaa n wengass «a7 3° st22t7 berg Informasi Detail Juul Sei : ppc Prodi Deskrips Fisk Bahasa No Reg Tipelsi : Tipe Media : Tipe Pambawa : dish Subjek sit “form Pembimbing Pernyataan : Tanggungiawad Versi lain/terkait Lampiran Berkas,Game Technology and Machine Learning Applications,Deskripsi dari hasil klasifikasi
Wsvic: Pengembangan game anatomia untuk anak-anak berbasis android menggunakan metode design thinking / Syafirah Aisyah COVER BELUM TERSEDIA bea toring Informasi Detail Juul Sei : ppc Prodi Deskrips Fisk Bahasa No Reg Tipelsi . Tipe Media : Tipe Pambawa : dish Subjek Pembimbing Pernyataan : Tanggungiawad ev “form Versi lain/terkait,Teknologi Digital Cerdas (Ubiquitous Computing Technique),Deskripsi dari hasil klasifikasi
"ew COVER BELUM TERSEDIA msi Analisis Permainan Battle Royale Player Unknown’s Battlegrounds Mobile {Pubg Mobile) Terkait Faktor-Faktor yang Mempengaruhi Minat Pemain Berdasarkan Game Design Factors / Manda Maulana Musthofa ol aksen uraue © rgspaficas parva game derg” fs Informasi Detail Juul Sei : ppc Prodi Deskrips Fisk Bahasa No Reg Tipelsi : Tipe Media : Tipe Pambawa : dish Subjek Sadi sit “form css Seger Valeng, 2322 Pembimbing Pernyataan : Tanggungiawad Mit, that Agata Versi lain/terkait Lampiran Berkas",Game Technology and Machine Learning Applications,Deskripsi dari hasil klasifikasi
Mengukur flow dalam game edukasi penjelajahan kebudayaan Indonesia a berbasis 2d platformer dan augmented reality / Mohamad Firzon Ainur Rozigin COVER Ria BELUM TERSEDIA [| ‘edoack datme Informasi Detail Juul Sei : ppc Prodi Deskrips Fisk Bahasa No Reg Tipelsi : Tipe Media : Tipe Pambawa : dish Subjek m Sead “sei “fora Pembimbing Pernyataan : Tanggungiawad Versi lain/terkait Lampiran Berkas,Game Technology and Machine Learning Applications,Deskripsi dari hasil klasifikasi
